id,email,full_name,role,district,created_at
admin-1,admin1@example.com,Admin User 1,admin,Imphal West,2026-05-04 10:00:00+00
admin-2,admin2@example.com,Admin User 2,admin,Imphal West,2026-05-04 10:00:00+00
officer-1,officer1@example.com,Officer 1,officer,Imphal East,2026-05-04 10:00:00+00
officer-2,officer2@example.com,Officer 2,officer,Thoubal,2026-05-04 10:00:00+00
officer-3,officer3@example.com,Officer 3,officer,Bishnupur,2026-05-04 10:00:00+00
farmer-1,farmer1@example.com,Farmer 1,farmer,Churachandpur,2026-05-04 10:00:00+00
farmer-2,farmer2@example.com,Farmer 2,farmer,Senapati,2026-05-04 10:00:00+00
farmer-3,farmer3@example.com,Farmer 3,farmer,Ukhrul,2026-05-04 10:00:00+00
farmer-4,farmer4@example.com,Farmer 4,farmer,Chandel,2026-05-04 10:00:00+00
farmer-5,farmer5@example.com,Farmer 5,farmer,Tamenglong,2026-05-04 10:00:00+00
farmer-6,farmer6@example.com,Farmer 6,farmer,Jiribam,2026-05-04 10:00:00+00
farmer-7,farmer7@example.com,Farmer 7,farmer,Kangpokpi,2026-05-04 10:00:00+00
farmer-8,farmer8@example.com,Farmer 8,farmer,Kakching,2026-05-04 10:00:00+00
farmer-9,farmer9@example.com,Farmer 9,farmer,Tengnoupal,2026-05-04 10:00:00+00
farmer-10,farmer10@example.com,Farmer 10,farmer,Kamjong,2026-05-04 10:00:00+00
farmer-11,farmer11@example.com,Farmer 11,farmer,Noney,2026-05-04 10:00:00+00
farmer-12,farmer12@example.com,Farmer 12,farmer,Pherzawl,2026-05-04 10:00:00+00
farmer-13,farmer13@example.com,Farmer 13,farmer,Imphal West,2026-05-04 10:00:00+00
farmer-14,farmer14@example.com,Farmer 14,farmer,Imphal East,2026-05-04 10:00:00+00
farmer-15,farmer15@example.com,Farmer 15,farmer,Thoubal,2026-05-04 10:00:00+00
farmer-16,farmer16@example.com,Farmer 16,farmer,Bishnupur,2026-05-04 10:00:00+00
farmer-17,farmer17@example.com,Farmer 17,farmer,Churachandpur,2026-05-04 10:00:00+00
farmer-18,farmer18@example.com,Farmer 18,farmer,Senapati,2026-05-04 10:00:00+00
farmer-19,farmer19@example.com,Farmer 19,farmer,Ukhrul,2026-05-04 10:00:00+00
farmer-20,farmer20@example.com,Farmer 20,farmer,Chandel,2026-05-04 10:00:00+00
farmer-21,farmer21@example.com,Farmer 21,farmer,Tamenglong,2026-05-04 10:00:00+00
farmer-22,farmer22@example.com,Farmer 22,farmer,Jiribam,2026-05-04 10:00:00+00
farmer-23,farmer23@example.com,Farmer 23,farmer,Kangpokpi,2026-05-04 10:00:00+00
farmer-24,farmer24@example.com,Farmer 24,farmer,Kakching,2026-05-04 10:00:00+00
farmer-25,farmer25@example.com,Farmer 25,farmer,Tengnoupal,2026-05-04 10:00:00+00
